交易日期,组合净值
2025-01-02,1.0
2025-01-03,1.00459207
2025-01-06,1.010346262872
2025-01-07,1.017095244563
2025-01-08,1.024614192355
2025-01-09,1.032646686054
2025-01-10,1.040934140401
2025-01-13,1.049244823257
2025-01-14,1.057397791292
2025-01-15,1.065277900296
2025-01-16,1.072839189568
2025-01-17,1.080095991859
2025-01-20,1.087103125407
2025-01-21,1.093928774156
2025-01-22,1.100624635608
2025-01-23,0.0
2025-01-24,1.113594908974
2025-01-27,1.11968497022
2025-01-28,1.125271571198
2025-01-29,1.130105895406
2025-01-30,1.133915719702
2025-01-31,1.136440802601
2025-02-03,1.13746990657
2025-02-04,1.136873371852
2025-02-05,1.134625443503
2025-02-06,1.13081208085
2025-02-07,1.125622738978
2025-02-10,-0.25
2025-02-11,1.112243189186
2025-02-12,1.104695607006
2025-02-13,1.096982213541
2025-02-14,1.089342774557
2025-02-17,1.059064775367
2025-02-18,1.029892327778
2025-02-19,1.033720756827
2025-02-20,1.037796221585
2025-02-21,1.031675745722
2025-02-24,1.025688570283
2025-02-25,1.01979242005
2025-02-26,1.013994818559
